stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
C200,C200,"Michigan Union, S. State",across from Michigan Union at Art Museum,42.275151,-83.740607,,,,,,2
C201,C201,"Michigan Union, S. Univ",across from Law Quad at Art Museum,42.274988,-83.740141,,,,,,2
C202,C202,Shapiro Library,N side of S University E of Tappan,42.275051,-83.737589,,,,,,2
C203,C203,"East Quad, Willard",Willard at E University,42.273793,-83.735526,,,,,,2
C208,C208,Kraus Building,S side of N University at Kraus Bldg,42.278488,-83.738729,,,,,,2
C210,C210,Power Center,Fletxher St at E Huron St,42.280851,-83.737094,,,,,,2
C211,C211,Rackham Bldg,Fletcher St at Washington St,42.280635,-83.737273,,,,,,2
C250,C250,Central Campus Transit Center: Chemistry,S side of Central Campus Transit Center,42.277682,-83.734936,,,,,,2
C251,C251,Central Campus Transit Center: Ruthven Museum,N side of Central Campus Transit Center,42.278176,-83.735084,,,,,,2
E601,E601,Green Rd Park & Ride Outbound,E side of service island in Green Rd Park and Ride lot,42.300154,-83.693166,,,,,,2
E603,E603,Michigan House,At the driveway to Michigan House on the N side of Commonwealth Blvd,42.30828,-83.695795,,,,,,2
E604,E604,2101 Commonwealth,"2101 Commonwealth, in parking lot",42.30631,-83.696538,,,,,,2
E605,E605,Rachel Upjohn Building,Front entrance to Rachel Upjohn Bldg and Depression Center,42.307907,-83.675536,,,,,,2
E606,E606,East Ann Arbor Health & Geriatrics Center,"Main entrance to East Ann Arbor Health and Geriatrics Center, under overhang",42.308185,-83.673986,,,,,,2
E607,E607,Arbor Lakes,"Main entrance to Arbor Lakes facility, inside circle driveway",42.310883,-83.6767,,,,,,2
E608,E608,Domino's Farms Lobby A,W entrance to Dominos Farms Lobby A,42.314887,-83.683234,,,,,,2
E609,E609,Domino's Farms Lobby C,W entrance to Dominos Farms Lobby C,42.315938,-83.683264,,,,,,2
E610,E610,Domino's Farms Lobby M,E entrance to Dominos Farms Lobby M,42.32114,-83.682196,,,,,,2
E611,E611,Domino's Farms Lobby H,E entrance to Dominos Farms Lobby H (Main entrance to Dominos Farms),42.318142,-83.6821,,,,,,2
E612,E612,Plymouth Park-and-Ride,Plymouth Rd AAATA Park-and-Ride at US-23,42.30597,-83.68852,,,,,,2
M302,M302,Stockwell Hall Inbound,W side of Observatory at Stockwell Hall,42.278494,-83.731104,,,,,,2
M303,M303,Cardiovascular Center,E side of Observatory at Ann St,42.281798,-83.731002,,,,,,2
M304,M304,Lloyd/Observatory,W side of Observatory at Ann St,42.281996,-83.731232,,,,,,2
M305,M305,Couzens Hall,SE corner of Ann St and Zina Pitcher,42.282236,-83.733276,,,,,,2
M306,M306,Zina Pitcher,E side of Zina Pitcher between Ann St and Catherine St,42.282695,-83.73344,,,,,,2
M307,M307,Biomedical Science Research Bldg,W side of Zina Pitcher between Ann St and Washtenaw,42.281984,-83.733638,,,,,,2
M309,M309,Glen/Catherine Outbound,NE corner of Catherine St and Glen Ave,42.283383,-83.73551,,,,,,2
M311,M311,North Ingalls Bldg,"E side of North Ingalls, N of Catherine St",42.283524,-83.738434,,,,,,2
M312,M312,Medical Science Research Bldg II,N side of West Medical Center Dr at Medical Sciences Bldg driveway,42.284965,-83.734687,,,,,,2
M313,M313,Markley Hall,Across from Mott Hospital at Mary Markley Hall,42.281347,-83.728011,,,,,,2
M314,M314,Mott Hospital,"N side of E Medical Center Dr at P4 parking structure, W of Mott Hospital",42.281505,-83.728982,,,,,,2
M315,M315,Taubman Outbound,E Medical Center Dr across from UM Hospital Main Entrance,42.283749,-83.726923,,,,,,2
