route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CN,3705,42407,Commuter North to Glazier Way,,0,3501,739,1,2
CN,3705,42406,Commuter North to Glazier Way,,0,3502,739,1,2
CN,5,42464,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42405,Commuter North to Glazier Way,,0,3503,739,1,2
CN,5,42463,Commuter North to Glazier Way,,0,3707,735,1,2
CN,3705,42404,Commuter North to Glazier Way,,0,3504,739,1,2
CN,5,42462,Commuter North to Glazier Way,,0,3709,735,1,2
CN,5,42456,Commuter North to Glazier Way,,0,3712,735,1,2
CN,3705,42403,Commuter North to Glazier Way,,0,3505,739,1,2
CN,5,42461,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42402,Commuter North to Glazier Way,,0,3506,739,1,2
CN,5,42460,Commuter North to Glazier Way,,0,3707,735,1,2
CN,3705,42401,Commuter North to Glazier Way,,0,3507,739,1,2
CN,5,42459,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42400,Commuter North to Glazier Way,,0,3508,739,1,2
CN,5,42458,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42399,Commuter North to Glazier Way,,0,3509,739,1,2
CN,5,42457,Commuter North to Glazier Way,,0,3707,735,1,2
CN,3705,42398,Commuter North to Glazier Way,,0,3510,739,1,2
CN,5,42455,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42397,Commuter North to Glazier Way,,0,3511,739,1,2
CN,5,42454,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42396,Commuter North to Glazier Way,,0,3512,739,1,2
CN,5,42453,Commuter North to Glazier Way,,0,3707,735,1,2
CN,3705,42395,Commuter North to Glazier Way,,0,3513,739,1,2
CN,5,42452,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42394,Commuter North to Glazier Way,,0,3514,739,1,2
CN,5,42451,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42393,Commuter North to Glazier Way,,0,3515,739,1,2
CN,3705,42392,Commuter North to Glazier Way,,0,3516,739,1,2
CN,5,42450,Commuter North to Glazier Way,,0,3707,735,1,2
CN,3705,42391,Commuter North to Glazier Way,,0,3517,739,1,2
CN,5,42449,Commuter North to Glazier Way,,0,3709,735,1,2
CN,5,42448,Commuter North to Glazier Way,,0,3710,735,1,2
CN,3705,42390,Commuter North to Glazier Way,,0,3518,739,1,2
CN,3705,42389,Commuter North to Glazier Way,,0,3519,739,1,2
CN,3705,42388,Commuter North to Glazier Way,,0,3520,739,1,2
CN,5,42447,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42387,Commuter North to Glazier Way,,0,3521,739,1,2
CN,3705,42386,Commuter North to Glazier Way,,0,3522,739,1,2
CN,3705,42385,Commuter North to Glazier Way,,0,3523,739,1,2
CN,5,42446,Commuter North to Glazier Way,,0,3709,735,1,2
CN,5,43422,Commuter North to Glazier Way,,0,3524,739,1,2
CN,3705,42384,Commuter North to Glazier Way,,0,3525,739,1,2
CN,3705,42383,Commuter North to Glazier Way,,0,3526,739,1,2
CN,5,42445,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42382,Commuter North to Glazier Way,,0,3527,739,1,2
CN,3705,42381,Commuter North to Glazier Way,,0,3528,739,1,2
CN,3705,42380,Commuter North to Glazier Way,,0,3529,739,1,2
CN,5,42444,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42379,Commuter North to Glazier Way,,0,3530,739,1,2
CN,3705,42378,Commuter North to Glazier Way,,0,3531,739,1,2
CN,3705,42377,Commuter North to Glazier Way,,0,3532,739,1,2
CN,5,42443,Commuter North to Glazier Way,,0,3709,735,1,2
CN,5,43424,Commuter North to Glazier Way,,0,3533,739,1,2
CN,3705,42376,Commuter North to Glazier Way,,0,3534,739,1,2
CN,3705,42375,Commuter North to Glazier Way,,0,3535,739,1,2
CN,5,42442,Commuter North to Glazier Way,,0,3713,735,1,2
CN,3705,42374,Commuter North to Glazier Way,,0,3536,739,1,2
CN,3705,42373,Commuter North to Glazier Way,,0,3537,739,1,2
CN,3705,42372,Commuter North to Glazier Way,,0,3538,739,1,2
CN,5,42441,Commuter North to Glazier Way,,0,3713,735,1,2
CN,3705,42371,Commuter North to Glazier Way,,0,3539,739,1,2
CN,3705,42370,Commuter North to Glazier Way,,0,3540,739,1,2
CN,3705,42369,Commuter North to Glazier Way,,0,3541,739,1,2
CN,5,42440,Commuter North to Glazier Way,,0,3713,735,1,2
CN,3705,42368,Commuter North to Glazier Way,,0,3542,739,1,2
CN,3705,42367,Commuter North to Glazier Way,,0,3543,739,1,2
CN,5,43426,Commuter North to Glazier Way,,0,3544,739,1,2
CN,5,42439,Commuter North to Glazier Way,,0,3713,735,1,2
CN,3705,42366,Commuter North to Glazier Way,,0,3545,739,1,2
CN,3705,42365,Commuter North to Glazier Way,,0,3546,739,1,2
CN,3705,42364,Commuter North to Glazier Way,,0,3547,739,1,2
CN,5,42438,Commuter North to Glazier Way,,0,3713,735,1,2
CN,3705,42363,Commuter North to Glazier Way,,0,3548,739,1,2
CN,3705,42362,Commuter North to Glazier Way,,0,3549,739,1,2
CN,3705,42361,Commuter North to Glazier Way,,0,3550,739,1,2
CN,3705,42360,Commuter North to Glazier Way,,0,3551,739,1,2
CN,5,42437,Commuter North to Glazier Way,,0,3709,735,1,2
CN,3705,42359,Commuter North to Glazier Way,,0,3552,739,1,2
CN,5,42436,Commuter North to Glazier Way,,0,3715,735,1,2
CN,3705,42358,Commuter North to Glazier Way,,0,3553,739,1,2
CN,5,42435,Commuter North to Glazier Way,,0,3716,735,1,2
CN,3705,42357,Commuter North to Glazier Way,,0,3554,739,1,2
CN,5,42434,Commuter North to Glazier Way,,0,3709,735,1,2
CN,5,43428,Commuter North to Glazier Way,,0,3555,739,1,2
CN,5,42433,Commuter North to Glazier Way,,0,3715,735,1,2
